"module name","licenses","repository","licenseUrl","parents"
"validate-npm-package-name@3.0.0","ISC","https://github.com/npm/validate-npm-package-name","https://github.com/npm/validate-npm-package-name/raw/master/LICENSE","mobile-app"
"vary@1.1.2","MIT","https://github.com/jshttp/vary","https://github.com/jshttp/vary/raw/master/LICENSE","mobile-app"
"vlq@1.0.1","MIT","https://github.com/Rich-Harris/vlq","https://github.com/Rich-Harris/vlq/raw/master/LICENSE","mobile-app"
"walker@1.0.8","Apache-2.0","https://github.com/daaku/nodejs-walker","https://github.com/daaku/nodejs-walker/raw/master/LICENSE","mobile-app"
"warn-once@0.1.1","MIT","https://github.com/satya164/warn-once","https://github.com/satya164/warn-once/raw/master/LICENSE","mobile-app"
"wcwidth@1.0.1","MIT","https://github.com/timoxley/wcwidth","https://github.com/timoxley/wcwidth/raw/master/LICENSE","mobile-app"
"web-encoding@1.1.5","MIT","","https://github.com/gozala/web-encoding","mobile-app"
"web-streams-polyfill@3.3.3","MIT","https://github.com/MattiasBuelens/web-streams-polyfill","https://github.com/MattiasBuelens/web-streams-polyfill/raw/master/LICENSE","mobile-app"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions","https://github.com/jsdom/webidl-conversions/raw/master/LICENSE.md","mobile-app"
"webidl-conversions@5.0.0","BSD-2-Clause","https://github.com/jsdom/webidl-conversions","https://github.com/jsdom/webidl-conversions/raw/master/LICENSE.md","whatwg-url-without-unicode:mobile-app"
"whatwg-fetch@3.6.20","MIT","https://github.com/github/fetch","https://github.com/github/fetch/raw/master/LICENSE","mobile-app"
"whatwg-url-without-unicode@8.0.0-3","MIT","https://github.com/charpeni/whatwg-url","https://github.com/charpeni/whatwg-url/raw/master/LICENSE.txt","mobile-app"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url","https://github.com/jsdom/whatwg-url/raw/master/LICENSE.txt","mobile-app"
"which-boxed-primitive@1.0.2","MIT","https://github.com/inspect-js/which-boxed-primitive","https://github.com/inspect-js/which-boxed-primitive/raw/master/LICENSE","mobile-app"
"which-module@2.0.1","ISC","https://github.com/nexdrew/which-module","https://github.com/nexdrew/which-module/raw/master/LICENSE","mobile-app"
"which-typed-array@1.1.15","MIT","https://github.com/inspect-js/which-typed-array","https://github.com/inspect-js/which-typed-array/raw/master/LICENSE","mobile-app"
